Accuracy,Learning Rate,Batch Size,Hidden Neurons,Hidden Layers
0.8962,0.01,4,30,1
0.9083,0.01,8,30,1
0.9122,0.01,16,30,1
0.9402,0.1,4,30,1
0.9419,0.1,8,30,1
0.9426,0.1,16,30,1
0.9483,1.0,4,30,1
0.947,1.0,8,30,1
0.9461,1.0,16,30,1
0.8959,0.01,4,30,2
0.9107,0.01,8,30,2
0.914,0.01,16,30,2
0.9389,0.1,4,30,2
0.9397,0.1,8,30,2
0.9399,0.1,16,30,2
0.9488,1.0,4,30,2
0.954,1.0,8,30,2
0.9535,1.0,16,30,2
0.8818,0.01,4,30,3
0.9028,0.01,8,30,3
0.9069,0.01,16,30,3
0.9353,0.1,4,30,3
0.9364,0.1,8,30,3
0.9369,0.1,16,30,3
0.9502,1.0,4,30,3
0.9552,1.0,8,30,3
0.956,1.0,16,30,3
0.8286,0.01,4,30,4
0.8832,0.01,8,30,4
0.8947,0.01,16,30,4
0.9312,0.1,4,30,4
0.9319,0.1,8,30,4
0.9315,0.1,16,30,4
0.9362,1.0,4,30,4
0.9441,1.0,8,30,4
0.947,1.0,16,30,4
