EST,LR,SUBSAMP,MSE,ACC,REC,PREC,F1,AUROC,AUPR
10,0.1000,0.1000,0.4461,0.5539,0.5320,0.9148,0.6728,0.6543,0.9175
10,0.1000,0.5000,0.4375,0.5625,0.5445,0.9128,0.6821,0.6543,0.9173
10,0.1000,1.0000,0.4513,0.5487,0.5243,0.9165,0.6670,0.6553,0.9175
10,0.0010,0.1000,0.5190,0.4810,0.4372,0.9175,0.5922,0.6368,0.9103
10,0.0010,0.5000,0.5238,0.4762,0.4317,0.9165,0.5870,0.6278,0.9060
10,0.0010,1.0000,0.4538,0.5462,0.5281,0.9065,0.6674,0.6189,0.8979
10,0.00001,0.1000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6295,0.9083
10,0.00001,0.5000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6267,0.9062
10,0.00001,1.0000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6190,0.8979
10,0.0000001,0.1000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6308,0.9086
10,0.0000001,0.5000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6270,0.9058
10,0.0000001,1.0000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6190,0.8979
50,0.1000,0.1000,0.4231,0.5769,0.5568,0.9213,0.6941,0.6814,0.9249
50,0.1000,0.5000,0.4322,0.5678,0.5445,0.9222,0.6847,0.6802,0.9247
50,0.1000,1.0000,0.4312,0.5688,0.5460,0.9220,0.6858,0.6804,0.9246
50,0.0010,0.1000,0.4359,0.5641,0.5521,0.9051,0.6859,0.6384,0.9127
50,0.0010,0.5000,0.4487,0.5513,0.5347,0.9064,0.6726,0.6351,0.9098
50,0.0010,1.0000,0.4538,0.5462,0.5281,0.9065,0.6674,0.6191,0.8980
50,0.00001,0.1000,0.7613,0.2387,0.1228,0.9539,0.2176,0.6370,0.9118
50,0.00001,0.5000,0.7718,0.2282,0.1097,0.9558,0.1968,0.6285,0.9072
50,0.00001,1.0000,0.7877,0.2123,0.0901,0.9592,0.1647,0.6190,0.8979
50,0.0000001,0.1000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6362,0.9113
50,0.0000001,0.5000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6290,0.9073
50,0.0000001,1.0000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6190,0.8979
100,0.1000,0.1000,0.4115,0.5885,0.5701,0.9231,0.7049,0.6894,0.9267
100,0.1000,0.5000,0.4120,0.5880,0.5694,0.9232,0.7044,0.6896,0.9268
100,0.1000,1.0000,0.4163,0.5837,0.5639,0.9233,0.7002,0.6878,0.9265
100,0.0010,0.1000,0.4414,0.5586,0.5445,0.9059,0.6802,0.6388,0.9127
100,0.0010,0.5000,0.4486,0.5514,0.5348,0.9064,0.6727,0.6357,0.9099
100,0.0010,1.0000,0.4469,0.5531,0.5368,0.9067,0.6743,0.6340,0.9079
100,0.00001,0.1000,0.7338,0.2662,0.1576,0.9467,0.2702,0.6365,0.9118
100,0.00001,0.5000,0.7366,0.2634,0.1539,0.9479,0.2648,0.6343,0.9095
100,0.00001,1.0000,0.7367,0.2633,0.1539,0.9479,0.2648,0.6190,0.8979
100,0.0000001,0.1000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6365,0.9120
100,0.0000001,0.5000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6292,0.9079
100,0.0000001,1.0000,0.8620,0.1380,0.0000,0.0000,0.0000,0.6190,0.8979
