,EST,DEPTH,MSE,ACC,REC,PREC,F1,AUROC,AUPR
0,10,5,0.3855836271572864,0.6144163728427136,0.6131210864938675,0.9102780694945436,0.7327175898530963,0.6597187856243939,0.9190796514376963
1,10,10,0.4080644733702712,0.5919355266297288,0.5803306720466483,0.9152721593279202,0.7102962045614524,0.6719474043328447,0.9220260586599391
2,10,20,0.27398001113438136,0.7260199888656186,0.7743052565537772,0.893650703505459,0.8297082822530681,0.6558706354260038,0.916359875199761
3,50,5,0.39279976670819966,0.6072002332918003,0.6025046439247622,0.911929543634908,0.725606684642508,0.6642866471071729,0.920743182254658
4,50,10,0.3969619045094245,0.6030380954905755,0.5922265005105242,0.9182314962281964,0.7200478620973321,0.6803720965564277,0.9243240956178992
5,50,20,0.24410275443386972,0.7558972455661302,0.8125453628412208,0.8946060339281482,0.8516034205445409,0.6781462401468299,0.9238939774451458
6,100,5,0.392688422894409,0.607311577105591,0.6027629814612063,0.9117857774221462,0.7257484586473125,0.6636656919699927,0.9204297134994797
7,100,10,0.3960393414808727,0.6039606585191273,0.5936965641107653,0.9178497732048954,0.7210156159543436,0.6809475944691241,0.9249593609104982
8,100,20,0.23701386495586013,0.7629861350441399,0.8211135577999483,0.895254637391526,0.8565827804370982,0.682182701586084,0.9252443416785253
